RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,49751,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,16394,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1593,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,41606,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,23243,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2889,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,45871,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,19405,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2462,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,56202,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,9644,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,1,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1891,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,42163,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,22989,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2586,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,52493,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,13241,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2004,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,43029,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,22832,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1877,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,45971,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,19351,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2416,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,54591,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,11699,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1448,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,33235,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,31086,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3417,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,39509,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,22373,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,5856,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,32677,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,25870,Colin
