RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,43150,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,13943,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1408,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,35841,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,20094,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2566,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,39930,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,16386,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2185,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,48695,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,8109,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,1,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1696,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,36396,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,19802,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2303,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,45391,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,11306,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1804,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,37276,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,19534,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1691,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,39728,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,16625,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2148,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,47178,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,10061,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1262,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,28924,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,26548,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3029,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,34090,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,19229,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,5182,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,28563,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,21958,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.3 - UNDER VOTES,UNDER VOTES,7980,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas - For,For,20756,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.1 - Against,Against,34852,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2893,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas - For,For,42862,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.1 - Against,Against,13328,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
