RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,62412,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,20550,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1992,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,52090,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,29262,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3602,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,57442,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,24458,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3054,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,70465,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,12178,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,1,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2310,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,52523,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,29210,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3221,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,65674,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,16792,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2488,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,53980,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,28634,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2340,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,57534,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,24432,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2988,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,68330,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,14805,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1819,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,41262,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,39415,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,4277,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,49275,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,28356,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,7323,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,40391,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,33009,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.3 - UNDER VOTES,UNDER VOTES,11554,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas - For,For,29263,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.1 - Against,Against,51686,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.3 - UNDER VOTES,UNDER VOTES,4005,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas - For,For,62304,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.1 - Against,Against,19451,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.3 - UNDER VOTES,UNDER VOTES,3199,Colin
Proposition A – Collin County,Proposition A – Collin County - For,For,43437,Colin
Proposition A – Collin County,Proposition A – Collin County.1 - Against,Against,37935,Colin
Proposition A – Collin County,Proposition A – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – Collin County,Proposition A – Collin County.3 - UNDER VOTES,UNDER VOTES,3554,Colin
Proposition B – Collin County,Proposition B – Collin County - For,For,53222,Colin
Proposition B – Collin County,Proposition B – Collin County.1 - Against,Against,28622,Colin
Proposition B – Collin County,Proposition B – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – Collin County,Proposition B – Collin County.3 - UNDER VOTES,UNDER VOTES,3082,Colin
Proposition C – Collin County,Proposition C – Collin County - For,For,45011,Colin
Proposition C – Collin County,Proposition C – Collin County.1 - Against,Against,35584,Colin
Proposition C – Collin County,Proposition C – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – Collin County,Proposition C – Collin County.3 - UNDER VOTES,UNDER VOTES,4331,Colin
Proposition D – Collin County,Proposition D – Collin County - For,For,51321,Colin
Proposition D – Collin County,Proposition D – Collin County.1 - Against,Against,30044,Colin
Proposition D – Collin County,Proposition D – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – Collin County,Proposition D – Collin County.3 - UNDER VOTES,UNDER VOTES,3561,Colin
Proposition E – Collin County,Proposition E – Collin County - For,For,61204,Colin
Proposition E – Collin County,Proposition E – Collin County.1 - Against,Against,20858,Colin
Proposition E – Collin County,Proposition E – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – Collin County,Proposition E – Collin County.3 - UNDER VOTES,UNDER VOTES,2864,Colin
Proposition A – City of Allen,Proposition A – City of Allen - For,For,7918,Colin
Proposition A – City of Allen,Proposition A – City of Allen.1 - Against,Against,2255,Colin
Proposition A – City of Allen,Proposition A – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.3 - UNDER VOTES,UNDER VOTES,179,Colin
Proposition B – City of Allen,Proposition B – City of Allen - For,For,5684,Colin
Proposition B – City of Allen,Proposition B – City of Allen.1 - Against,Against,4365,Colin
Proposition B – City of Allen,Proposition B – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.3 - UNDER VOTES,UNDER VOTES,303,Colin
Proposition C – City of Allen,Proposition C – City of Allen - For,For,4461,Colin
Proposition C – City of Allen,Proposition C – City of Allen.1 - Against,Against,5557,Colin
Proposition C – City of Allen,Proposition C – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.3 - UNDER VOTES,UNDER VOTES,334,Colin
Proposition D – City of Allen,Proposition D – City of Allen - For,For,6319,Colin
Proposition D – City of Allen,Proposition D – City of Allen.1 - Against,Against,3769,Colin
Proposition D – City of Allen,Proposition D – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.3 - UNDER VOTES,UNDER VOTES,264,Colin
Proposition E – City of Allen,Proposition E – City of Allen - For,For,6407,Colin
Proposition E – City of Allen,Proposition E – City of Allen.1 - Against,Against,3755,Colin
Proposition E – City of Allen,Proposition E – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
