COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"DEM State Senator, District 30","DEM State Senator, District 30","DEM State Senator, District 30","DEM State Senator, District 30",
,,,,,,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Michael Braxton,Dale Frey,OVER VOTES,UNDER VOTES,
COLL,0001,PCT 030,4917,0,0,0,0,0,0,
COLL,0001,PCT 030,4917,6,0,1,5,0,0,
COLL,0001,PCT 030,4917,5,0,2,3,0,0,
COLL,0001,PCT 030,4917,0,0,0,0,0,0,
COLL,0001,PCT 030,4917,0,0,0,0,0,0,
COLL,0002,PCT 087,3338,0,0,0,0,0,0,
COLL,0002,PCT 087,3338,0,0,0,0,0,0,
COLL,0002,PCT 087,3338,3,0,1,2,0,0,
COLL,0002,PCT 087,3338,0,0,0,0,0,0,
COLL,0002,PCT 087,3338,0,0,0,0,0,0,
COLL,0003,PCT 092,4266,0,0,0,0,0,0,
COLL,0003,PCT 092,4266,8,0,3,5,0,0,
COLL,0003,PCT 092,4266,17,0,8,9,0,0,
COLL,0003,PCT 092,4266,0,0,0,0,0,0,
COLL,0003,PCT 092,4266,0,0,0,0,0,0,
COLL,0004,PCT 101,4138,0,0,0,0,0,0,
COLL,0004,PCT 101,4138,7,0,1,6,0,0,
COLL,0004,PCT 101,4138,15,0,8,7,0,0,
COLL,0004,PCT 101,4138,0,0,0,0,0,0,
COLL,0004,PCT 101,4138,0,0,0,0,0,0,
COLL,0005,PCT 111,3035,0,0,0,0,0,0,
COLL,0005,PCT 111,3035,3,0,1,2,0,0,
COLL,0005,PCT 111,3035,2,0,1,1,0,0,
COLL,0005,PCT 111,3035,0,0,0,0,0,0,
COLL,0005,PCT 111,3035,0,0,0,0,0,0,
COLL,0006,PCT 117,4307,0,0,0,0,0,0,
COLL,0006,PCT 117,4307,16,0,5,11,0,0,
COLL,0006,PCT 117,4307,14,0,6,8,0,0,
COLL,0006,PCT 117,4307,0,0,0,0,0,0,
COLL,0006,PCT 117,4307,0,0,0,0,0,0,
COLL,0007,PCT 118,4190,0,0,0,0,0,0,
COLL,0007,PCT 118,4190,1,0,0,1,0,0,
