RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,0,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,0,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas - For,For,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.1 - Against,Against,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas - For,For,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.1 - Against,Against,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition A – Collin County,Proposition A – Collin County - For,For,0,Colin
Proposition A – Collin County,Proposition A – Collin County.1 - Against,Against,0,Colin
Proposition A – Collin County,Proposition A – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – Collin County,Proposition A – Collin County.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition B – Collin County,Proposition B – Collin County - For,For,0,Colin
Proposition B – Collin County,Proposition B – Collin County.1 - Against,Against,0,Colin
Proposition B – Collin County,Proposition B – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – Collin County,Proposition B – Collin County.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition C – Collin County,Proposition C – Collin County - For,For,0,Colin
Proposition C – Collin County,Proposition C – Collin County.1 - Against,Against,0,Colin
Proposition C – Collin County,Proposition C – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – Collin County,Proposition C – Collin County.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition D – Collin County,Proposition D – Collin County - For,For,0,Colin
Proposition D – Collin County,Proposition D – Collin County.1 - Against,Against,0,Colin
Proposition D – Collin County,Proposition D – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – Collin County,Proposition D – Collin County.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition E – Collin County,Proposition E – Collin County - For,For,0,Colin
Proposition E – Collin County,Proposition E – Collin County.1 - Against,Against,0,Colin
Proposition E – Collin County,Proposition E – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – Collin County,Proposition E – Collin County.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen - For,For,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.1 - Against,Against,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen - For,For,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.1 - Against,Against,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen - For,For,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.1 - Against,Against,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen - For,For,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.1 - Against,Against,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen - For,For,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen.1 - Against,Against,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen.3 - UNDER VOTES,UNDER VOTES,0,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine - Doug Ewing,Doug Ewing,0,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine - Jane Ridgway,Jane Ridgway,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.1 - Brad Ahlfinger,Brad Ahlfinger,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.2 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.3 - UNDER VOTES,UNDER VOTES,0,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine - Alex Esquivel,Alex Esquivel,0,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine - Pamela Sardo,Pamela Sardo,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.1 - Chad Hawkins,Chad Hawkins,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.2 - Douglas E. Thomas,Douglas E. Thomas,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.3 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.4 - UNDER VOTES,UNDER VOTES,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon - Tyler West,Tyler West,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.1 - Vicki L. Sanson,Vicki L. Sanson,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.2 - Letty Harrison,Letty Harrison,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.4 - UNDER VOTES,UNDER VOTES,0,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon - Mike Cook",Mike Cook,0,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon.1 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon.2 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon - Ted Dill",Ted Dill,0,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.1 - Tracy Filo",Tracy Filo,0,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.3 - UNDER VOTES",UNDER VOTES,0,Colin
Mayor,Mayor - City of Lowry Crossing - Bob Petitt,Bob Petitt,0,Colin
Mayor,Mayor - City of Lowry Crossing.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor,Mayor - City of Lowry Crossing.2 - UNDER VOTES,UNDER VOTES,0,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing - Scott Pitchure,Scott Pitchure,0,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.1 - Pat Kelly,Pat Kelly,0,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.2 - OVER VOTES,OVER VOTES,0,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.3 - UNDER VOTES,UNDER VOTES,0,Colin
City Council Ward 2 – City of Lowry Crossing,City Council Ward 2 – City of Lowry Crossing - Cynthia Sandlin,Cynthia Sandlin,0,Colin
City Council Ward 2 – City of Lowry Crossing,City Council Ward 2 – City of Lowry Crossing.1 - OVER VOTES,OVER VOTES,0,Colin
