RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,35828,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,11618,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1219,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,29789,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,16695,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2181,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,33318,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,13486,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1861,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,40626,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,6560,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,1,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1478,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,30504,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,16211,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1950,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,37930,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,9212,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1523,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,31081,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,16161,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1423,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,33185,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,13657,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1823,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,39365,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,8232,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1068,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,24382,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,21730,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2553,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,28494,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,15842,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,4329,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,24053,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,18030,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.3 - UNDER VOTES,UNDER VOTES,6582,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas - For,For,17562,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.1 - Against,Against,28643,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2460,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas - For,For,35643,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.1 - Against,Against,11054,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1968,Colin
Proposition A – Collin County,Proposition A – Collin County - For,For,26122,Colin
Proposition A – Collin County,Proposition A – Collin County.1 - Against,Against,20467,Colin
Proposition A – Collin County,Proposition A – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – Collin County,Proposition A – Collin County.3 - UNDER VOTES,UNDER VOTES,2048,Colin
Proposition B – Collin County,Proposition B – Collin County - For,For,30842,Colin
Proposition B – Collin County,Proposition B – Collin County.1 - Against,Against,15956,Colin
Proposition B – Collin County,Proposition B – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – Collin County,Proposition B – Collin County.3 - UNDER VOTES,UNDER VOTES,1839,Colin
Proposition C – Collin County,Proposition C – Collin County - For,For,26663,Colin
Proposition C – Collin County,Proposition C – Collin County.1 - Against,Against,19518,Colin
Proposition C – Collin County,Proposition C – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – Collin County,Proposition C – Collin County.3 - UNDER VOTES,UNDER VOTES,2456,Colin
Proposition D – Collin County,Proposition D – Collin County - For,For,29509,Colin
Proposition D – Collin County,Proposition D – Collin County.1 - Against,Against,17050,Colin
Proposition D – Collin County,Proposition D – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – Collin County,Proposition D – Collin County.3 - UNDER VOTES,UNDER VOTES,2078,Colin
Proposition E – Collin County,Proposition E – Collin County - For,For,35607,Colin
Proposition E – Collin County,Proposition E – Collin County.1 - Against,Against,11373,Colin
Proposition E – Collin County,Proposition E – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – Collin County,Proposition E – Collin County.3 - UNDER VOTES,UNDER VOTES,1657,Colin
Proposition A – City of Allen,Proposition A – City of Allen - For,For,4400,Colin
Proposition A – City of Allen,Proposition A – City of Allen.1 - Against,Against,1210,Colin
Proposition A – City of Allen,Proposition A – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.3 - UNDER VOTES,UNDER VOTES,86,Colin
Proposition B – City of Allen,Proposition B – City of Allen - For,For,3167,Colin
Proposition B – City of Allen,Proposition B – City of Allen.1 - Against,Against,2377,Colin
Proposition B – City of Allen,Proposition B – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.3 - UNDER VOTES,UNDER VOTES,152,Colin
Proposition C – City of Allen,Proposition C – City of Allen - For,For,2429,Colin
Proposition C – City of Allen,Proposition C – City of Allen.1 - Against,Against,3102,Colin
Proposition C – City of Allen,Proposition C – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.3 - UNDER VOTES,UNDER VOTES,165,Colin
Proposition D – City of Allen,Proposition D – City of Allen - For,For,3490,Colin
Proposition D – City of Allen,Proposition D – City of Allen.1 - Against,Against,2086,Colin
Proposition D – City of Allen,Proposition D – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.3 - UNDER VOTES,UNDER VOTES,120,Colin
Proposition E – City of Allen,Proposition E – City of Allen - For,For,3699,Colin
Proposition E – City of Allen,Proposition E – City of Allen.1 - Against,Against,1905,Colin
Proposition E – City of Allen,Proposition E – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen.3 - UNDER VOTES,UNDER VOTES,92,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine - Doug Ewing,Doug Ewing,80,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,40,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine - Jane Ridgway,Jane Ridgway,44,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.1 - Brad Ahlfinger,Brad Ahlfinger,67,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.2 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.3 - UNDER VOTES,UNDER VOTES,9,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine - Alex Esquivel,Alex Esquivel,74,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,46,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine - Pamela Sardo,Pamela Sardo,35,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.1 - Chad Hawkins,Chad Hawkins,34,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.2 - Douglas E. Thomas,Douglas E. Thomas,38,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.3 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.4 - UNDER VOTES,UNDER VOTES,13,Colin
Mayor – City of Lavon,Mayor – City of Lavon - Tyler West,Tyler West,80,Colin
Mayor – City of Lavon,Mayor – City of Lavon.1 - Vicki L. Sanson,Vicki L. Sanson,224,Colin
Mayor – City of Lavon,Mayor – City of Lavon.2 - Letty Harrison,Letty Harrison,25,Colin
Mayor – City of Lavon,Mayor – City of Lavon.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.4 - UNDER VOTES,UNDER VOTES,19,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon - Mike Cook",Mike Cook,252,Colin
