RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Proposition 1 – State of Texas,Proposition 1 – State of Texas - For,For,39574,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.1 - Against,Against,12986,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 1 – State of Texas,Proposition 1 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1330,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas - For,For,33082,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.1 - Against,Against,18421,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 2 – State of Texas,Proposition 2 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2387,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas - For,For,36710,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.1 - Against,Against,15150,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 3 – State of Texas,Proposition 3 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2030,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas - For,For,44824,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.1 - Against,Against,7471,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.2 - OVER VOTES,OVER VOTES,1,Colin
Proposition 4 – State of Texas,Proposition 4 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1594,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas - For,For,33780,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.1 - Against,Against,17966,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 5 – State of Texas,Proposition 5 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2144,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas - For,For,41952,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.1 - Against,Against,10276,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 6 – State of Texas,Proposition 6 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1662,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas - For,For,34334,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.1 - Against,Against,17999,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 7 – State of Texas,Proposition 7 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1557,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas - For,For,36775,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.1 - Against,Against,15133,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 8 – State of Texas,Proposition 8 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1982,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas - For,For,43552,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.1 - Against,Against,9167,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 9 – State of Texas,Proposition 9 – State of Texas.3 - UNDER VOTES,UNDER VOTES,1171,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas - For,For,26792,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.1 - Against,Against,24302,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 10 – State of Texas,Proposition 10 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2796,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas - For,For,31598,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.1 - Against,Against,17513,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 11 – State of Texas,Proposition 11 – State of Texas.3 - UNDER VOTES,UNDER VOTES,4779,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas - For,For,26404,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.1 - Against,Against,20144,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 12 – State of Texas,Proposition 12 – State of Texas.3 - UNDER VOTES,UNDER VOTES,7342,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas - For,For,19227,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.1 - Against,Against,31980,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 13 – State of Texas,Proposition 13 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2683,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas - For,For,39593,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.1 - Against,Against,12161,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition 14 – State of Texas,Proposition 14 – State of Texas.3 - UNDER VOTES,UNDER VOTES,2136,Colin
Proposition A – Collin County,Proposition A – Collin County - For,For,28653,Colin
Proposition A – Collin County,Proposition A – Collin County.1 - Against,Against,22930,Colin
Proposition A – Collin County,Proposition A – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – Collin County,Proposition A – Collin County.3 - UNDER VOTES,UNDER VOTES,2279,Colin
Proposition B – Collin County,Proposition B – Collin County - For,For,34225,Colin
Proposition B – Collin County,Proposition B – Collin County.1 - Against,Against,17636,Colin
Proposition B – Collin County,Proposition B – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – Collin County,Proposition B – Collin County.3 - UNDER VOTES,UNDER VOTES,2001,Colin
Proposition C – Collin County,Proposition C – Collin County - For,For,29418,Colin
Proposition C – Collin County,Proposition C – Collin County.1 - Against,Against,21711,Colin
Proposition C – Collin County,Proposition C – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – Collin County,Proposition C – Collin County.3 - UNDER VOTES,UNDER VOTES,2733,Colin
Proposition D – Collin County,Proposition D – Collin County - For,For,32800,Colin
Proposition D – Collin County,Proposition D – Collin County.1 - Against,Against,18774,Colin
Proposition D – Collin County,Proposition D – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – Collin County,Proposition D – Collin County.3 - UNDER VOTES,UNDER VOTES,2288,Colin
Proposition E – Collin County,Proposition E – Collin County - For,For,39339,Colin
Proposition E – Collin County,Proposition E – Collin County.1 - Against,Against,12692,Colin
Proposition E – Collin County,Proposition E – Collin County.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – Collin County,Proposition E – Collin County.3 - UNDER VOTES,UNDER VOTES,1831,Colin
Proposition A – City of Allen,Proposition A – City of Allen - For,For,4458,Colin
Proposition A – City of Allen,Proposition A – City of Allen.1 - Against,Against,1227,Colin
Proposition A – City of Allen,Proposition A – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Allen,Proposition A – City of Allen.3 - UNDER VOTES,UNDER VOTES,86,Colin
Proposition B – City of Allen,Proposition B – City of Allen - For,For,3218,Colin
Proposition B – City of Allen,Proposition B – City of Allen.1 - Against,Against,2400,Colin
Proposition B – City of Allen,Proposition B – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Allen,Proposition B – City of Allen.3 - UNDER VOTES,UNDER VOTES,153,Colin
Proposition C – City of Allen,Proposition C – City of Allen - For,For,2478,Colin
Proposition C – City of Allen,Proposition C – City of Allen.1 - Against,Against,3125,Colin
Proposition C – City of Allen,Proposition C – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Allen,Proposition C – City of Allen.3 - UNDER VOTES,UNDER VOTES,168,Colin
Proposition D – City of Allen,Proposition D – City of Allen - For,For,3548,Colin
Proposition D – City of Allen,Proposition D – City of Allen.1 - Against,Against,2103,Colin
Proposition D – City of Allen,Proposition D – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – City of Allen,Proposition D – City of Allen.3 - UNDER VOTES,UNDER VOTES,120,Colin
Proposition E – City of Allen,Proposition E – City of Allen - For,For,3735,Colin
Proposition E – City of Allen,Proposition E – City of Allen.1 - Against,Against,1942,Colin
Proposition E – City of Allen,Proposition E – City of Allen.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – City of Allen,Proposition E – City of Allen.3 - UNDER VOTES,UNDER VOTES,94,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine - Doug Ewing,Doug Ewing,80,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 1 – City of Josephine,Alderman Place 1 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,40,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine - Jane Ridgway,Jane Ridgway,44,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.1 - Brad Ahlfinger,Brad Ahlfinger,67,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.2 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 2 – City of Josephine,Alderman Place 2 – City of Josephine.3 - UNDER VOTES,UNDER VOTES,9,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine - Alex Esquivel,Alex Esquivel,74,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.1 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 3 – City of Josephine,Alderman Place 3 – City of Josephine.2 - UNDER VOTES,UNDER VOTES,46,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine - Pamela Sardo,Pamela Sardo,35,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.1 - Chad Hawkins,Chad Hawkins,34,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.2 - Douglas E. Thomas,Douglas E. Thomas,38,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.3 - OVER VOTES,OVER VOTES,0,Colin
Alderman Place 4 – City of Josephine,Alderman Place 4 – City of Josephine.4 - UNDER VOTES,UNDER VOTES,13,Colin
Mayor – City of Lavon,Mayor – City of Lavon - Tyler West,Tyler West,80,Colin
Mayor – City of Lavon,Mayor – City of Lavon.1 - Vicki L. Sanson,Vicki L. Sanson,225,Colin
Mayor – City of Lavon,Mayor – City of Lavon.2 - Letty Harrison,Letty Harrison,25,Colin
Mayor – City of Lavon,Mayor – City of Lavon.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Lavon,Mayor – City of Lavon.4 - UNDER VOTES,UNDER VOTES,19,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon - Mike Cook",Mike Cook,252,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon.1 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 2 – City of  Lavon","City Council, Place 2 – City of  Lavon.2 - UNDER VOTES",UNDER VOTES,97,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon - Ted Dill",Ted Dill,164,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.1 - Tracy Filo",Tracy Filo,102,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 4 – City of Lavon","City Council, Place 4 – City of Lavon.3 - UNDER VOTES",UNDER VOTES,83,Colin
Mayor,Mayor - City of Lowry Crossing - Bob Petitt,Bob Petitt,217,Colin
Mayor,Mayor - City of Lowry Crossing.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor,Mayor - City of Lowry Crossing.2 - UNDER VOTES,UNDER VOTES,86,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing - Scott Pitchure,Scott Pitchure,45,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.1 - Pat Kelly,Pat Kelly,32,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.2 - OVER VOTES,OVER VOTES,0,Colin
City Council Ward 1 – City of Lowry Crossing,City Council Ward 1 – City of Lowry Crossing.3 - UNDER VOTES,UNDER VOTES,14,Colin
City Council Ward 2 – City of Lowry Crossing,City Council Ward 2 – City of Lowry Crossing - Cynthia Sandlin,Cynthia Sandlin,65,Colin
City Council Ward 2 – City of Lowry Crossing,City Council Ward 2 – City of Lowry Crossing.1 - OVER VOTES,OVER VOTES,0,Colin
City Council Ward 2 – City of Lowry Crossing,City Council Ward 2 – City of Lowry Crossing.2 - UNDER VOTES,UNDER VOTES,19,Colin
City Council Ward 3 – City of Lowry Crossing,City Council Ward 3 – City of Lowry Crossing - Cindy Cash,Cindy Cash,82,Colin
City Council Ward 3 – City of Lowry Crossing,City Council Ward 3 – City of Lowry Crossing.1 - OVER VOTES,OVER VOTES,0,Colin
